1003MACK                 01 25 CARLENT03500                         031318
1004DICKSON              01 123BEVERLY01000                         031318
7002WHITTAKER            01 04 PINEGRO00500                         031318
2006CLARKE               01 50 MCMAHON09590                         031318
3010MACDONALD            01 05 HAVEN  00900                         031318
5001BAYLOR               01 646 6TH ST07500                         031318
1056GAVIN                011122233333 99999                         031318
4010MITCHELL             02 9 INDIAN  01999                         031318
4013STRANGE              02 56CASTLE  05950                         031318
4014LEWIS                02 39 PARK AV00995                         031318
1015Al Shatti            02 199999999900150                         031318
2017Bellek               024455668465500330                         031318
2018Breidenstein         028875512265401050                         031318
1019Crawley              021555654654602530                         031318
2020Derickson            02245565465  00410                         031318
1021Digman               0323 St John 00755                         031318
3022Draeger              03           01111  55456213549846519649694031318
1323Faulkner             03           03677  55465112239665466549551031318
2324Fieldhack            03           02500  21556415665165465654651031318
3325Godejohn             03338451663  06503  16519516535744445521336031318
1326Greene               03114582315  00366  32123213214540654842168031318
1127Grisa                032536521232 06213  65162132416516510112224031318
1028Harrer               03 225554562 05163  44665564687443411222345031318
1029Hermauer             03 222818916 01581  26546565464487654987967031318
1030Heppner              035841191946 06321  64651263216545646216543031318
1031Hill                 032255216216 00516  65156165164516565464654031318
1032Jones                031255162651 00704  13246543246574344965645031318
2033Kaiser               034452621652 01432  21651651665432434965465031318
3034Kieler               042253165165 00453  65196543435446516544650031318
1035Knutson              043326516516 09545 462165186541654654564654031318
1036Lee                  041123352465 01651 651616516516474444555255031318
1037Liang                042254616516 00654 246316516516357784974445031318
2038Montanye             043251651651 00918 324324234321496456516754031318
4040Ortman               043223216516 09999 524321654635456496564654031318
3041Passinault           042246516574 12657 467553789498754984559764031318
4042Peterson             042252165162 02432 321651645165165346451654031318
1043Pratt                042231621651 01675 621654654646516516534654031318
1044Reuter               042323326345 02651 521321654621654165764965031318
2045Sandoval             042323131263 01132 321321321658421654645164031318
2046Schmidt              042351651632 00751 516516516516542106544651031318
2047Schultz              051232165162 01346 165461656546587367465465031318
1048Shay                 052213216511 04321 574321654651657465474985031318
1049Simpson              051223216516 02986 654654965165745651654546031318
1050Squire               051221651651 01657 651654651496876549657950031318
1051Sterwald             050213211265 00198 542644654632732165465465031318
3052Swenson              062226416516 03240 546546447488846549543546031318
3053Vanderjagt           062132132132 00312 265516321631651653165164031318
4054Whittow              061216516214 03216 165743245651954654684654031318
4055Yan                  061221651632 01462 653215619645462465165546031318
